,Stock Symbol,Week Number,Alpha,Beta,R-Squared,Res Std. Error,Stock Weekly Return
0,A2A.MI,0,-0.000712683503097889,0.7794690437372455,0.2935785692629911,0.007566713837616958,-0.0187945924621985
1,A2A.MI,7,-8.107315269272812e-05,-0.03545516546903258,0.0007532973522286213,2.5534855042447235e-05,0.0037077891358275007
2,A2A.MI,14,-0.0004233295143381107,-0.03938072834119298,0.0009633140858460454,3.3794728329927803e-05,0.019858906440222
3,A2A.MI,21,-0.0008698431411119747,-0.04815156413913915,0.001466308405558503,5.228129903440959e-05,-0.0274211706631167
4,A2A.MI,28,-0.0010946868844666539,-0.0677369163828735,0.003573072774220254,0.0001455780102316631,0.0205149456370273
5,A2A.MI,35,-0.0007927081653380117,-0.06601493196432272,0.0038847877865093583,0.0001664482828734673,0.0011114532299618994
6,A2A.MI,42,-0.0007438614764731282,-0.041865120593932194,0.0016087201278626173,6.732141052828017e-05,-0.0051028215379945
7,A2A.MI,49,-0.0005186135153375628,-0.025044347316441645,0.0005793361532874242,2.3385869583537888e-05,0.0104644588945458
8,A2A.MI,56,0.00048484113486008443,0.8544816669612657,0.3846376624780824,0.013753922587662618,-0.0054677532902056
9,A2A.MI,63,-0.00042191507159015907,-0.034557823149874003,0.0010898998827509887,4.5171723224289584e-05,-0.0030545322730876
10,A2A.MI,70,-0.0006803795485366338,-0.021968138755813785,0.0004426650597185722,1.8538829156727887e-05,0.018959770341597397
11,A2A.MI,77,-0.0009054583043464463,-0.01817036880687046,0.00030590683388009854,1.2857651468148323e-05,-0.0161087857297255
12,A2A.MI,84,-0.0007577257523397504,-0.03376759643824334,0.0010635999031778365,4.685653297554354e-05,-0.006149833872087999
13,A2A.MI,91,-0.000884375278258389,-0.0313586429700987,0.0009096206986287658,4.072570476810339e-05,0.022382459507175802
14,A2A.MI,98,-0.0008955112822925855,-0.005454701347214361,2.839066048387906e-05,1.217088021580881e-06,-0.007411341630808001
15,A2A.MI,105,0.00021050752066662773,0.8295026434690009,0.4012927078242544,0.013604074143320294,-0.0263473007782705
16,A2A.MI,112,0.00045403350973605047,0.8268240090522907,0.4076759154810724,0.014251295157773333,-0.002164528900498999
17,A2A.MI,119,0.00031510108512591915,0.7921990086182722,0.3835369418806258,0.013228721528728143,-0.0053378757343096
18,A2A.MI,126,9.800744283223621e-05,0.779331140671847,0.36522224206047216,0.01277719482875931,0.0184587225144315
19,A2A.MI,133,-0.00036624583340231815,0.7740715664035123,0.28369780497423014,0.0077637882286645706,0.007878413699525499
20,A2A.MI,140,0.00034080674320984336,0.8014252011180726,0.38452945724800214,0.013717593377553575,0.0030263312295310003
21,A2A.MI,147,0.00010289401119898387,0.7784631872013057,0.3615094395694072,0.012459050853029875,-0.0167011515698378
22,A2A.MI,154,0.0003147726801429361,0.8018219157767046,0.4119153272511267,0.014238986716376877,-0.0038788127509372
23,A2A.MI,161,0.0004890721903287053,0.8119840121060159,0.41673877951422256,0.01527176344415775,-0.014554897519206899
24,A2A.MI,168,0.000692624434284312,0.8099733209156151,0.4191782170547742,0.015658563921243637,0.033993517176163696
25,A2A.MI,175,0.0006500965994677163,0.7716981899630546,0.37661210969055114,0.013405342586574914,-0.0306164316000968
26,A2A.MI,182,0.0005742607886222268,0.787561861364198,0.40492570415331797,0.013955568700681643,0.0106024263379474
27,A2A.MI,189,0.0009546500488918057,0.7848868100060664,0.39089158338411556,0.013503554116982258,0.009633319210049401
28,A2A.MI,196,0.0007279065907301196,0.7655826625317805,0.37183865577273156,0.013349747319829523,-0.0292825364681477
29,A2A.MI,203,0.0006936874128967294,0.7493756842612946,0.380635686497216,0.013536360691151189,0.0386848020730059
30,A2A.MI,210,-0.00012752794201344089,0.7915284744489393,0.2994844441824023,0.008109682233604067,-0.016647986096643003
31,A2A.MI,217,0.0008973692840816398,0.7701628015116195,0.3955757420770082,0.014422095002698455,0.0084533464500098
32,A2A.MI,224,0.0010903611872080104,0.7724560440004049,0.3977717741971497,0.014928776824879971,-0.010379921623382601
33,A2A.MI,231,0.0006074802492173148,0.7412179522194023,0.3729548367479726,0.01437119442266234,0.0075548717828541005
34,A2A.MI,238,0.0005912692861792261,0.7361676336147669,0.37001719431188984,0.014091622154604105,-0.0241686738783426
35,A2A.MI,245,0.0006689212066413731,0.6995267720832541,0.34817312663117517,0.01261059659129626,0.0328690778612481
36,A2A.MI,252,0.0007779683491807566,0.6602530388187529,0.3298120840749966,0.011216742081411428,-0.0011438712735474992
37,A2A.MI,259,0.0008220638558355602,0.6474711883834781,0.3238594941845644,0.010400778715072789,9.256745574409957e-05
38,A2A.MI,266,0.0005852055126207912,0.6128932313685568,0.2891850102714537,0.00868648856649916,-0.0032616430887941
39,A2A.MI,273,0.0006520401922755245,0.5850846923353654,0.2624428603913883,0.007629307701426023,-0.0056058217022464
40,A2A.MI,280,0.00041682664846517085,0.5586867595771307,0.24750545323842,0.006917080011976693,0.016839906261880498
41,A2A.MI,287,0.00028008708008998926,0.7801440310862235,0.2852986632793212,0.00786245653899708,-0.0219577329773314
42,A2A.MI,294,0.0003871468831722545,0.5600912452996059,0.2512922764098089,0.0069346913574405665,0.0059443769862851
43,A2A.MI,301,-9.890712608087436e-05,0.570568896705441,0.25196520366332065,0.007075185378776307,-0.0020722810995381998
44,A2A.MI,308,-0.0003218057479682604,0.5481094635035768,0.2267505551343818,0.006243347809685149,0.0319693641093897
45,A2A.MI,315,-0.0005704740920037181,0.5453355633456218,0.22207402346958238,0.006016485216863578,-0.0005684838219601022
46,A2A.MI,322,-0.0001448711271878106,0.5437113176276761,0.21645136211945404,0.006022107942594699,-0.028320961035159298
47,A2A.MI,329,-1.6738772926565065e-05,0.599334107072431,0.25835612407040864,0.007703140944273133,0.001994820135659
48,A2A.MI,336,-0.0002263010711153979,0.5793440661004887,0.24347187880099508,0.007186808993186872,-0.0118719899177559
49,A2A.MI,343,7.473957350249814e-05,0.5738026475893152,0.24129149664312755,0.0070409344415294575,0.0232976105276495
50,A2A.MI,350,-1.8296121500151034e-05,0.5717554018483741,0.23206657357297722,0.006622698922962224,-0.012458274110372
51,A2A.MI,357,0.000179989351755226,0.5401594890904242,0.21238746727355662,0.00562753961823001,0.0111866343428048
52,A2A.MI,364,0.000284327996493497,0.7367500477540274,0.2656380089480995,0.007294117991592797,-0.009911875651321199
53,A2A.MI,371,6.48603642071561e-05,0.5298852213323231,0.20131637446186468,0.005143711544580883,-0.0086831017126079
54,A2A.MI,378,0.00032615565302680246,0.527034604520473,0.2007693849766231,0.004965172456053345,0.004253738788562101
55,A2A.MI,385,8.456376102221767e-05,0.5360134305782474,0.21213101479231344,0.005160787660775164,0.0019069500071421
56,A2A.MI,392,-5.008812409201679e-05,0.551057148730709,0.2299136436154251,0.005743260784304972,0.0006255411604668
57,A2A.MI,399,8.122519730480373e-05,0.5542347130775124,0.24803107796785084,0.0061166765648834505,0.0089825735743031
58,A2A.MI,406,-0.00025756010427686145,0.5685690294444894,0.24656655481974488,0.0059543414407173915,-0.0054259356622354
59,A2A.MI,413,-0.000556650876797392,0.5839337484062426,0.2539244790866064,0.00598792734367137,-0.0008624099837939003
